gene	degree	betweenness	clustering	module
TCTN2	34	40.89234226316853	0.7985739750445633	1
EVC	12	15.509252391417345	0.7727272727272727	1
IQCB1	43	1221.6344984867862	0.46843853820598	4
IFT80	27	38.48563494648148	0.7094017094017093	1
NPHP1	43	876.8111716866975	0.548172757475083	1
PPP1R21	1	0	0	33
VPS35L	2	0	1	22
TUBA1A	17	835.5949978278497	0.33088235294117646	3
SMARCC2	12	15.547718568126664	0.6666666666666666	2
ARID1A	21	368.01409839022216	0.4	2
PRKDC	12	1683.6801524811494	0.30303030303030304	2
B4GAT1	13	0	1	7
HMBS	2	28.020329567233613	0	30
TSEN2	7	34.88786075036076	0.7142857142857143	11
FKRP	17	1452.5353538312697	0.6176470588235294	7
DENND5A	2	37.05571457696071	0	17
SMARCE1	11	42.18422320753706	0.7454545454545454	2
ESCO2	7	12.529381826422009	0.7619047619047619	3
POGZ	5	36.19535464208021	0.5	2
FLVCR2	1	0	0	4
SEMA3E	3	164.91487642885753	0	19
NPHP3	33	137.72255659922482	0.6799242424242424	1
MYOD1	6	46.797422795669156	0.33333333333333337	8
TUBB	11	305.7038618953776	0.34545454545454546	3
GDF6	1	0	0	1
WDR35	20	19.955851758496568	0.7526315789473684	1
MRE11	6	39.28264166201721	0.6	2
POMK	14	579.8082495124171	0.8571428571428571	7
PIBF1	6	307.5571296204363	0.4	1
C2CD3	31	103.57378073085387	0.7956989247311828	1
ARID2	15	135.20163231306276	0.5904761904761905	2
POLR1A	6	579.7825933929814	0.13333333333333333	21
LRAT	18	306.84810537853485	0.7973856209150326	4
RAB11B	5	421.58454707403297	0.2	17
EVC2	23	371.0222880114255	0.5968379446640316	1
OFD1	44	1496.525640180442	0.4989429175475687	1
PGAP2	3	0	1	20
POMGNT2	13	0	1	7
ALX4	2	44.29400716231553	0	5
OPHN1	5	360.96364848942716	0.1	5
TUBB3	10	399.0431479648876	0.37777777777777777	3
TUBB4B	9	92.68300765164982	0.5	3
ITPR1	10	1592.5561974521595	0.13333333333333333	9
PACS1	2	42.46649175209211	0	19
RERE	3	80.51912943468338	0	19
DYNC1H1	21	828.3277449500406	0.2571428571428572	3
LNPK	2	299	0	28
ATP9A	1	0	0	27
PGAP1	3	0	1	20
DPH1	5	606.4448930651372	0.3	12
PIGN	4	890.9999999999998	0.5	20
TBC1D24	2	299	0	25
TBC1D20	4	31.705880384310674	0.5	3
BICD2	10	126.79777622091572	0.4222222222222222	3
ATR	11	520.8104398032974	0.2909090909090909	3
IMPDH1	21	974.4438810645228	0.6333333333333333	4
DPYSL5	4	318.35736877415457	0.16666666666666666	9
FRMD4A	3	893	0	27
RAC1	20	2044.0859395544474	0.18421052631578946	3
PPFIBP1	1	0	0	3
CNTNAP2	8	1420.4718514099789	0.07142857142857142	9
KIAA0586	40	222.41353696692715	0.6205128205128205	1
GTPBP2	1	0	0	11
TSEN54	7	138.1216264248395	0.6666666666666666	11
LARGE1	14	175.37943410971283	0.8571428571428571	7
KNL1	9	74.57199081046184	0.5555555555555556	3
DOK7	6	77.07856917642734	0.4666666666666667	5
CENPF	12	433.66330265053216	0.4393939393939394	3
TOPORS	11	0	1	4
RD3	16	2.6764344216171345	0.9666666666666667	4
TMEM107	20	284.5917287688052	0.8105263157894737	1
CEP57	5	55.419576397411085	0.4	3
HNRNPH1	6	173.44306136306423	0.4	6
KIF14	12	463.0434306122524	0.4090909090909091	3
USP45	2	18.364183853707733	0	31
GOT2	6	943.9114709808595	0.2	13
KPNA3	2	8.995856592238168	0	6
PLCH1	5	6.2685458919953145	0.7	2
TSEN15	6	299	0.6666666666666667	11
RBM10	5	199.19446961417066	0.3	2
AHI1	40	186.49930875637338	0.6384615384615384	1
MAST1	2	596	0	34
CSF1R	6	139.76218145055418	0.6	2
EIF4A2	3	48.12157148798469	0.3333333333333333	6
ARID1B	15	272.98318313895396	0.5619047619047619	2
NRAS	13	326.86148411954355	0.4102564102564103	2
INPP5E	10	453.4980936750722	0.4	2
B3GALNT2	14	60.940661137121815	0.8571428571428571	7
POMGNT1	14	176.85589435697437	0.8571428571428571	7
SYT2	5	160.5134214270951	0.2	5
MTM1	4	41.75844163394464	0.3333333333333333	5
CCDC32	4	29.915886840452632	0.3333333333333333	2
ASXL3	2	0	1	2
MPL	2	27.38906000520096	0	2
WASHC5	3	423.02377435121196	0.3333333333333333	22
PRDM13	2	141.88856362262095	0	31
PHGDH	8	812.231637733084	0.10714285714285714	13
PCYT1A	1	0	0	4
CRB1	19	653.5608998617134	0.7777777777777778	4
POLR3A	6	563.3671474015075	0.2	21
TOGARAM1	4	61.30527717101288	0.16666666666666666	1
ASXL1	10	457.7563563481666	0.35555555555555557	2
COG8	6	529.3530328792095	0.33333333333333337	10
BUB3	14	762.7764835346605	0.2857142857142857	3
SUFU	12	256.81653322580524	0.7424242424242423	1
CEP104	24	318.0747799385416	0.7246376811594203	1
ARHGEF2	9	89.7107330960369	0.4166666666666667	3
KIF21A	11	466.9053033873395	0.2	3
MEF2C	6	231.24455490468947	0.2	8
TFAP2A	3	0	1	15
NMNAT1	17	504.7616120087833	0.7573529411764706	4
RPGRIP1L	51	869.6243317011423	0.4776470588235294	1
RARS2	8	273.6870775874336	0.5357142857142857	11
GJB6	1	0	0	23
L1CAM	5	78.62344476175343	0.2	5
COL4A1	3	29.538053703649506	0.3333333333333333	5
AIPL1	19	28.0331120487379	0.8187134502923976	4
LCA5	28	198.2321694126977	0.5767195767195767	4
TXNDC15	6	1410.4053318248752	0.26666666666666666	12
MKS1	41	310.3938545802897	0.6378048780487805	1
GPC4	3	121.51288922134799	0.3333333333333333	8
ARL13B	44	1422.9583417425488	0.5528541226215645	1
KIF7	37	788.8488854775845	0.6141141141141141	1
RAB3GAP2	10	729.1590202983122	0.4	3
DYNC2I2	16	46.83160546941397	0.6416666666666667	1
TUBB2A	14	268.27198750946195	0.39560439560439564	3
VLDLR	3	66.38077494457825	0.3333333333333333	5
POMT1	14	167.91931528584198	0.8571428571428571	7
GLI3	20	2325.229002769646	0.32105263157894737	1
PAFAH1B1	25	2304.4719786792343	0.18999999999999997	3
USP9X	4	129.73914873658853	0.3333333333333333	6
HNRNPR	5	39.47251285700322	0.4	6
BCOR	10	339.2913384414338	0.3333333333333333	2
SPATA7	23	115.84769785481136	0.6442687747035574	4
FAR1	1	0	0	3
MACF1	2	20.202278418564802	0	5
CDC42BPB	1	0	0	3
PTEN	28	3127.7048983705577	0.1984126984126984	2
MUSK	8	500.38970315921614	0.2857142857142857	5
LAMA1	7	153.01592901159762	0.4761904761904762	5
PPP1CB	8	490.9698274837968	0.10714285714285714	3
DYNC2H1	31	840.1844371132097	0.3870967741935484	1
ALG3	3	58.68002846619022	0	10
TCTN1	30	14.069439311647322	0.903448275862069	1
DYNC2I1	16	142.51091617334234	0.5666666666666667	1
EPG5	2	23.915329729425082	0	16
TMEM237	35	78.80996108597874	0.7512605042016807	1
CPLANE1	31	31.868762896411585	0.853763440860215	1
PLG	2	60.78956302732606	0	8
GPC3	4	17.21157277172077	0.5	8
TRRAP	12	752.1932548957122	0.30303030303030304	2
GJB2	3	316.063839962216	0	23
SMARCD1	11	13.717922466864302	0.7454545454545454	2
CDC42	30	5577.537646685758	0.10804597701149425	3
IGF2	12	566.2696423181137	0.2727272727272727	8
CHD7	18	1212.5632240102245	0.28758169934640526	2
NCAPG2	8	122.69804002519861	0.5	3
DDX3X	13	1110.7136023439502	0.15384615384615385	6
SMARCA4	30	2546.531882408816	0.2160919540229885	2
SEPSECS	5	0	1	11
TMEM67	42	1374.6291386459802	0.5958188153310104	1
CC2D2A	43	1117.6350169529549	0.5813953488372093	1
IFT74	14	11.638429085778018	0.7252747252747253	1
PTF1A	3	422.30617972334426	0.3333333333333333	2
FAT4	2	0	1	2
FGFR1	13	472.5451323098634	0.4230769230769231	2
NSD1	6	174.40193757579493	0.33333333333333337	2
AFF3	2	15.528503502559103	0	3
B4GALT1	4	294.45187622946395	0	10
COQ4	1	0	0	32
WLS	2	390.72058875310245	0	18
DHCR7	2	0	1	18
IFT140	34	439.0874232280413	0.5044563279857398	1
KIF5A	16	1903.4208341631963	0.175	3
PSAT1	5	199.328225965231	0.3	13
CDKN1C	7	202.1965844567906	0.3333333333333333	8
ACY1	1	0	0	26
RPGRIP1	21	71.35653403444843	0.6476190476190476	4
TMEM218	14	152.3937505760408	0.8571428571428571	1
CRPPA	14	502.06419146667787	0.8571428571428571	7
ROBO1	7	884.1899547950932	0.14285714285714285	16
DCHS1	1	0	0	29
EBP	3	164.53117770361794	0.3333333333333333	18
SLC18A3	2	9.047974464867792	0	5
WDR81	4	31.276551230417372	0.16666666666666666	5
RAB3GAP1	11	657.4972155102042	0.32727272727272727	3
NEK1	22	480.20232214874227	0.4718614718614718	1
TMEM216	38	81.84260207091333	0.7183499288762446	1
GEMIN4	3	12.521926113102584	0.3333333333333333	6
TAF1	7	172.62662609099633	0.4761904761904762	2
CEP290	61	2441.094564210391	0.3885245901639344	4
FOXC1	6	183.7517085488702	0.33333333333333337	15
HRAS	26	1903.7130574239275	0.24615384615384617	2
SRPX2	2	25.195777113147173	0	9
EBF3	1	0	0	1
NUP37	6	400.6046006290068	0.26666666666666666	6
RNF113A	2	7.655831240935605	0	2
NUP88	5	80.79523736010728	0.5	6
PACS2	4	160.45526212548305	0	1
GRM1	5	34.51962775219372	0.3	9
DPH5	4	202.74693891350645	0.3333333333333333	12
FOSL2	1	0	0	24
MED11	1	0	0	35
SOX11	1	0	0	15
ATP6V0A2	5	120.52542854206654	0.4	14
ATN1	4	215.37409309931647	0	19
KIAA0753	4	0.604053236539625	0.8333333333333334	1
CPT2	1	0	0	13
CCDC22	3	28.981346978258575	0.3333333333333333	22
NSUN6	2	0	1	21
MAB21L1	2	56.393361814653	0	8
SACS	1	0	0	25
TRAPPC9	2	0	1	17
EXOSC8	1	0	0	3
INTS1	3	131.50288062518229	0	10
MBD5	3	4.8566520467836245	0.3333333333333333	2
WDR73	4	148.3614081364307	0.16666666666666666	16
TSEN34	6	0.4	0.9333333333333333	11
HYLS1	6	300.0723473832436	0.4	1
SLC35A2	2	73.21472686688922	0	12
FDXR	1	0	0	32
FTO	2	40.85983684285668	0	8
MAGEL2	3	12.175609744572592	0.3333333333333333	8
DPF2	8	0	1	2
MDH1	2	299	0	26
DAG1	21	1373.6656546408788	0.4523809523809524	7
APC2	2	299	0	29
MVK	3	235.37287220060153	0.3333333333333333	18
AP1S2	7	493.130160226265	0.047619047619047616	5
BRF1	3	17.6860894685812	0.3333333333333333	21
RDH12	18	12.023862882693042	0.869281045751634	4
MAPKAPK5	3	95.51659677276183	0	6
RFX7	1	0	0	28
ZEB2	6	97.02330976855079	0.33333333333333337	8
ADGRG1	4	186.67744200835892	0.5	9
ZNF423	15	675.4698678668137	0.6285714285714287	1
MAN2C1	3	90.39174586482333	0	10
RBM8A	14	1662.8921233582419	0.12087912087912088	6
SEMA6B	1	0	0	16
RAB18	6	25.000184981421405	0.8	3
CBY1	12	367.5237838448506	0.6666666666666666	1
TMCO1	3	95.62311072155185	0	17
GRIA3	3	38.53230863593005	0	9
PCGF2	4	140.25766741776582	0.3333333333333333	2
TCTN3	32	35.069198599999055	0.8286290322580645	1
ARMC9	6	392.34387049385845	0.26666666666666666	12
